Owner,main_model_name,to_compare,readme,category
Ahmed007,Ahmed007/Copilot_for_poors_v2,Ahmed007/Copilot_for_poors,model name changed,others
albert,albert/albert-xlarge-v1,albert/albert-xlarge-v2,Nothing changed,no changes
alpcansoydas,alpcansoydas/bert-base-arabic-emotion-analysis-v2,alpcansoydas/bert-base-arabic-emotion-analysis,model name changed,others
AmelieSchreiber,AmelieSchreiber/esm2_t6_8M_general_binding_sites_v2,AmelieSchreiber/esm2_t6_8M_general_binding_sites, widget text inclusion,no changes
AmelieSchreiber,AmelieSchreiber/esm2_t6_8M_general_binding_sites_v2,AmelieSchreiber/esm2_t6_8M_general_binding_sites, dataset inclusion,dataset
AmelieSchreiber,AmelieSchreiber/esm2_t6_8M_general_binding_sites_v2,AmelieSchreiber/esm2_t6_8M_general_binding_sites, language inclusion,others
AmelieSchreiber,AmelieSchreiber/esm2_t6_8M_general_binding_sites_v2,AmelieSchreiber/esm2_t6_8M_general_binding_sites, metrics inclusion,performance metrics changes
AmelieSchreiber,AmelieSchreiber/esm2_t6_8M_general_binding_sites_v2,AmelieSchreiber/esm2_t6_8M_general_binding_sites,  library used inclusion,training library changes
AmelieSchreiber,AmelieSchreiber/esm2_t6_8M_general_binding_sites_v2,AmelieSchreiber/esm2_t6_8M_general_binding_sites," tags inclusion,",others
ankhamun,ankhamun/x_x-v0,ankhamun/xxxI0v_v0Ixxx, transformer inclusion,training library changes
arjan-hada,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v0,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v1,model name changed,others
athirdpath,athirdpath/Iambe-20b-DARE-v2,athirdpath/Iambe-20b-DARE,Nothing changed,no changes
austinpatrickm,austinpatrickm/finetuned_bge_embeddings_v2,austinpatrickm/finetuned-bge-embeddings,Nothing changed,no changes
bedust,bedust/tinyllama-colorist-v2,bedust/tinyllama-colorist-lora, readme inclusion,no changes
Biomimicry-AI,Biomimicry-AI/ANIMA-Nectar-v2,Biomimicry-AI/ANIMA-Nectar-v3-GGUF,Nothing changed,no changes
chathuranga-jayanath,chathuranga-jayanath/codet5-base-v1,chathuranga-jayanath/codet5-base-v2,model name changed,others
chensyii,chensyii/my_bert_model_v2,chensyii/my_bert_model, readme inclusion,no changes
ClaudiaRichard,ClaudiaRichard/mbti-bert-nli-finetuned_v2,ClaudiaRichard/mbti-bert-nli-finetuned,model name changed,others
Conrad747,Conrad747/luganda-ner-v6,Conrad747/luganda-ner-v5, performance update,performance changes
csarron,csarron/mobilebert-uncased-squad-v2,csarron/mobilebert-uncased-squad-v1,Nothing changed,no changes
cuadron11,cuadron11/suicide-distilbert-original-8-5-v2,cuadron11/suicide-distilbert-original-8-5,Nothing changed,no changes
damerajee,damerajee/tinyllama-sft-small-v2,damerajee/Tinyllama-sft-small, used library inclusion,training library changes
decapoda-research,decapoda-research/Antares-11b-v2,decapoda-research/Antares-11b-v1, dataset name changed,dataset
decapoda-research,decapoda-research/Antares-11b-v2,decapoda-research/Antares-11b-v1, task indication,others
decapoda-research,decapoda-research/Antares-11b-v2,decapoda-research/Antares-11b-v1, metrics indication,performance metrics changes
decapoda-research,decapoda-research/Antares-11b-v2,decapoda-research/Antares-11b-v1, merged base model changed,model architecture
evenicole,evenicole/google-play-sentiment-analysis_v2,evenicole/google-play-sentiment-analysis,Nothing changed,no changes
Fizzarolli,Fizzarolli/sappha-2b-v1,Fizzarolli/sappha-2b-v3, dataset removal,dataset
Fizzarolli,Fizzarolli/sappha-2b-v1,Fizzarolli/sappha-2b-v3,language removal,others
Fizzarolli,Fizzarolli/sappha-2b-v1,Fizzarolli/sappha-2b-v3, license inclusion,license
Frrrrrrrrank,Frrrrrrrrank/Llama-2-7b-chat-hf-process_engineering_one_firsttwokap_v3,Frrrrrrrrank/Llama-2-7b-chat-hf-process_engineering_one_firsttwokap_v2, readme deletion,no changes
gangyeolkim,gangyeolkim/kobart-korean-summarizer-v2,gangyeolkim/open-llama-2-ko-7b-summarization,pipeline inclusion,others
