naming_conv,owner,selected_model
{ambiguous}{creation-date}{training-mechanism},1,1
{base-model},2,2
{base-model}{dataset},3,3
{base-model}{dataset}{size},1,1
{base-model}{dataset}{variant-type},1,1
{base-model}{description},2,2
{base-model}{description}{creation-date},1,1
{base-model}{identifier},12,12
{base-model}{identifier}{size},2,2
{base-model}{identifier}{version}{task},1,1
{base-model}{language},3,3
{base-model}{language}{identifier}{training-mechanism},1,1
{base-model}{language}{size}{identifier},1,1
{base-model}{language}{task},1,1
{base-model}{language}{version},2,2
{base-model}{size},4,4
{base-model}{size}{dataset},1,1
{base-model}{size}{dataset}{description},1,1
{base-model}{size}{dataset}{training-mechanism},1,1
{base-model}{size}{dataset}{version},1,1
{base-model}{size}{description},3,3
{base-model}{size}{identifier},4,4
{base-model}{size}{language}{training-mechanism},1,1
{base-model}{size}{language}{variant-type},1,1
{base-model}{size}{task},2,2
{base-model}{size}{training-mechanism},2,2
{base-model}{size}{training-mechanism}{scaling},1,1
{base-model}{size}{training-task},1,1
{base-model}{size}{training-task}{programming}{variant-type},1,1
{base-model}{size}{training-task}{version}{variant-type},2,2
{base-model}{size}{variant-type}{description},1,1
{base-model}{size}{variant-type}{identifier},1,1
{base-model}{size}{variant-type}{task}{dataset},1,1
{base-model}{size}{version},1,1
{base-model}{task},3,3
{base-model}{task}{dataset}{training-mechanism},1,1
{base-model}{task}{version},1,1
{base-model}{training-mechanism},5,6
{base-model}{training-mechanism}{description},1,1
{base-model}{training-mechanism}{identifier},1,1
{base-model}{training-mechanism}{language},1,1
{base-model}{training-mechanism}{version},1,1
{base-model}{training-task},1,1
{base-model}{training-task}{training-mechanism},1,1
{base-model}{tuning-method}{language},1,1
{base-model}{variant-type},2,2
{base-model}{variant-type}{ambiguous},1,1
{base-model}{variant-type}{ambiguous}{language},1,1
{base-model}{variant-type}{dataset},5,5
{base-model}{variant-type}{dataset}{training-mechanism},2,2
{base-model}{variant-type}{description},1,1
{base-model}{variant-type}{language},2,2
{base-model}{variant-type}{training-mechanism},1,1
{base-model}{variant-type}{version},1,1
{base-model}{variant}{training-task}{language},1,1
{dataset}{base-model}{description},1,1
{dataset}{size},1,1
{description},11,11
{description}{size},1,1
{description}{version},1,1
{identifier},69,69
{identifier}{ambiguous},4,4
{identifier}{ambiguous}{base-model}{size}{creation-date},1,1
{identifier}{ambiguous}{size}{optimization-technique},1,2
{identifier}{base-model},6,6
{identifier}{base-model}{ambiguous}{version},1,1
{identifier}{base-model}{dataset},3,3
{identifier}{base-model}{dataset}{description},1,1
{identifier}{base-model}{dataset}{training-mechanism},1,1
{identifier}{base-model}{language}{task},1,1
{identifier}{base-model}{size},8,8
{identifier}{base-model}{size}{dataset},1,1
{identifier}{base-model}{size}{programming},1,1
{identifier}{base-model}{size}{programming}{description},1,1
{identifier}{base-model}{size}{version}{description}{training-mechanism}{variant-type},1,1
{identifier}{base-model}{size}{version}{training-mechanism},1,1
{identifier}{base-model}{task},2,2
{identifier}{base-model}{task}{ambiguous},1,1
{identifier}{base-model}{task}{training-mechanism},1,1
{identifier}{base-model}{training-mechanism},3,3
{identifier}{base-model}{training-task}{creation-date},1,1
{identifier}{base-model}{tuning-method},1,1
{identifier}{base-model}{variant-type}{dataset},1,1
{identifier}{base-model}{variant}{dataset},1,1
{identifier}{base-model}{version},1,1
{identifier}{dataset},2,2
{identifier}{dataset}{base-model}{description},1,1
{identifier}{dataset}{size}{ambiguous}{version},1,1
{identifier}{dataset}{variant-type}{language},1,1
{identifier}{description},10,10
{identifier}{description}{base-model},1,1
{identifier}{description}{training-mechanism},1,1
{identifier}{description}{version},3,3
{identifier}{language},3,3
{identifier}{language}{ambiguous},1,2
{identifier}{language}{description},1,1
{identifier}{language}{size}{task},1,1
{identifier}{language}{size}{version}{optimization-technique},1,1
{identifier}{size-with-name_programming},1,1
{identifier}{size},31,31
{identifier}{size}{ambiguous},2,2
{identifier}{size}{base-model}{version},1,1
{identifier}{size}{dataset},1,1
{identifier}{size}{description},4,4
{identifier}{size}{language},1,1
{identifier}{size}{language}{version},1,1
{identifier}{size}{language}{version}{training-mechanism},1,1
{identifier}{size}{optimization-technique},1,1
{identifier}{size}{task},3,3
{identifier}{size}{task}{variant-type}{language},1,1
{identifier}{size}{training-mechanism},2,2
{identifier}{size}{training-mechanism}{ambiguous},1,1
{identifier}{size}{training-task},1,1
{identifier}{size}{training-task}{version},1,1
{identifier}{size}{variant-type},1,1
{identifier}{size}{variant-type}{description},3,3
{identifier}{size}{version},3,3
{identifier}{size}{version}{description}{optimization-technique},1,1
{identifier}{size}{version}{training-mechanism},1,1
{identifier}{task},6,6
{identifier}{task}-{size},1,1
{identifier}{task}{size},1,1
{identifier}{training-mechanism},6,6
{identifier}{training-mechanism}{base-model}{task}{description},1,1
{identifier}{training-mechanism}{creation-date},1,1
{identifier}{training-mechanism}{variant-type},1,1
{identifier}{training-mechanism}{version},1,1
{identifier}{training-task}{ambiguous},1,1
{identifier}{training-task}{base-model}{size},1,1
{identifier}{variant-type},2,2
{identifier}{variant-type}{ambiguous},2,2
{identifier}{variant-type}{description},1,1
{identifier}{variant-type}{language},1,1
{identifier}{version},10,10
{identifier}{version}{base-model}{size},1,1
{identifier}{version}{base-model}{size}{description}{training-mechanism},1,1
{identifier}{version}{base-model}{version},1,1
{identifier}{version}{size},2,2
{identifier}{version}{size}{ambiguous},1,1
{identifier}{version}{training-mechanism}{size},1,1
{language}{base-model}{description},1,1
{nationality}{base-model},1,1
{nationality}{base-model}{size},2,2
{nationality}{identifier}{size}{optimization-technique},1,1
{nationality}{task},1,1
{size}{identifier}{training-mechanism},1,1
{task},8,8
{task}{base-model}{size},1,1
{task}{variant-type},1,1
{variant-type}{base-model}{description},1,1
{variant-type}{base-model}{size},1,1
{variant-type}{description},1,1
{variant-type}{identifier},1,1
{variant-type}{task}{description},1,1
{variant-type}{training-mechanism},1,1
