Owner,model_name
quriousclick,quriousclick/new-dot-comp-v1
macadeliccc,macadeliccc/TheCorso-7b-v1
IBM-DTT,IBM-DTT/sap_starcoder_finetune_code_generation_v1
RefalMachine,RefalMachine/ruadapt_solar_10.7_darulm_unigram_proj_init_part2_v1
cloudyu,cloudyu/google-gemma-7b-chinese-sft-v1
surprisedPikachu007,surprisedPikachu007/search_summarize_v1
pxltd,pxltd/world_v1
Vezora,Vezora/Narwhal-7b-v3
petersamoaa,petersamoaa/rise-ner-distilbert-base-cased-system-a-v1
vihangd,vihangd/DopeyTinyLlama-1.1B-v1
lazyghost,lazyghost/roberta_base-hate_speech_classifier-v2
anupk,anupk/akmixtral-v1
mizge,mizge/autotrain-mistral-v2
bulkbeings,bulkbeings/Mistral-v1
samot-samoe,samot-samoe/rugpt_gazeta-sft-6000-steps-v01
PositiveThinkingCompany,PositiveThinkingCompany/PromptSegmentation-MiniLM-L6-v2
folflo,folflo/Bert2Bert_finetuned_on_HunSum_v1123
gentilrenard,gentilrenard/multi-e5-base_lmd-comments_v3
alnrg2arg,alnrg2arg/blockchainlabs_tinyllama_fusion_LHK_yunkong_v2
arlineka,arlineka/Brunhilde-13b-v1
danwils,danwils/Alasv2-Seallm-7B-v2
ogbrandt,ogbrandt/mist7b-pjf-ft-bf16-v1
vikash06,vikash06/mistral_v1
mlabonne,mlabonne/OmniTruthyBeagle-7B-v0
ys7yoo,ys7yoo/nli_klue_roberta-large_v2
Juuuuu,Juuuuu/tinyllama-colorist-v2
wngkdud,wngkdud/llama2_DPO_test_v1
evangeliazve,evangeliazve/camembert-base-articles-ner-v4
zyh3826,zyh3826/GML-Mistral-merged-v1
epinnock,epinnock/deepseek-coder-6.7-evol-feedback-10k-v1
adityavelusamy,adityavelusamy/Questy-v1
scrawlsbraid,scrawlsbraid/tinyllama-colorist-v2
mohammedaly2222002,mohammedaly2222002/t5-small-squad-qg-v2
adamo1139,adamo1139/Yi-34B-200K-AEZAKMI-v2
Juniplayground,Juniplayground/juniper-bge-reranker-large_v2
jizzu,jizzu/LegalDialo-small-v1
nikcheerla,nikcheerla/amd-partial-v1
Fuwaguwa,Fuwaguwa/DialoGPT-Medium-AzurLaneMusashi-v8
abneraigc,abneraigc/Llama-2-7b-chat-hf-finetune_v1
vasukiM,vasukiM/distilroberta-base-video-segmentation-v2
BallisticAI,BallisticAI/Ballistic-CodeLlama-34B-v1
DjeDjeB,DjeDjeB/sn6-finetuned-v2
worldboss,worldboss/tinyllama-1.8B-Chat-nia-elbowai-ft-v3
argilla,argilla/zephyr-7b-spin-iter0-v0
Vaibhav-rm,Vaibhav-rm/GPT2-Shri-v1
Aspik101,Aspik101/ft_v1
bnurpek,bnurpek/gpt2-tr-pos-v3
yjgwak,yjgwak/klue-bert-base-finetuned-squad-kor-v1
makhataei,makhataei/qa-persian-albert-fa-zwnj-base-v2
serpdotai,serpdotai/sparsetral-16x7B-v1
mrfakename,mrfakename/NeuralOrca-7B-v1
alexredna,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2
bert-base,bert-base/rubert-tiny2-ner-absa-v1
sammyph2000,sammyph2000/travel-blogging-phi-v1
lumatic-ai,lumatic-ai/BongLlama-1.1B-Chat-alpha-v0
