Owner,model_name
michaelhu1,michaelhu1/tmp_trainer
DiegoVSulz,DiegoVSulz/capivarinha-portugues-7b-lv2-gptq-128-4bit
felgryn,felgryn/jr_test
eldpswp99,eldpswp99/sat-colab-hermes
hajili,hajili/mdeberta-v3-base-azsci-topics
jiagaoxiang,jiagaoxiang/starcoder-checkpoint-500-merged
BarryFutureman,BarryFutureman/ChatMarc-7B
bruhjeet26,bruhjeet26/NERFT
ggrazzioli,ggrazzioli/cls_sentimento_sebrae
recipe,recipe/embeddings
Kenshin0903,Kenshin0903/bert-base-japanese-v3-jsts
DaertML,DaertML/TinyGauss-1.1B
luaqi,luaqi/sn9_large_v3_1
OpenBuddy,OpenBuddy/openbuddy-mixtral-8x7b-v15.2
eu-test,eu-test/gpt2
doomnova,doomnova/distilbert_system_B
junelee,junelee/wizard-vicuna-13b
Giuggiola01,Giuggiola01/distilbert-base-uncased-finetuned-cola
chayankb,chayankb/chayankb_model_checkpoints
VladimML,VladimML/mt5-small-News
jtlucas,jtlucas/pyds_sum
sauravns,sauravns/my_awesome_qa_model
the-neural-networker,the-neural-networker/xlm-roberta-base-finetuned-panx-all
PotatoOff,PotatoOff/HamSter-0.2
omniamnaeem,omniamnaeem/semantic_sim_ner_with_ContrastiveLossV4
Mary8,Mary8/koelectra-small-v2-distilled-korquad-384
RobertML,RobertML/sn9
t-dai-con,t-dai-con/gpt-fine-tuned-v2
ytu-ce-cosmos,ytu-ce-cosmos/turkish-mini-bert-uncased
Ahmed235,Ahmed235/roberta-base-topic_classification_simple
Ripesh08,Ripesh08/news_summarization
Sociedade,Sociedade/distilbert-base-uncased-finetuned-imdb
codeaze,codeaze/deberta_med_22feb
LordAbsurd2137,LordAbsurd2137/calculator_model_test
nolanoAI,nolanoAI/lordcoder-v0-12-3B
Handun,Handun/xlm-roberta-base-finetuned-panx-de
Jession01,Jession01/mistralai-eng2ceb-Instruct
aabidk,aabidk/distilgpt2-sd
am-infoweb,am-infoweb/MRR-NER-08-09-Layoutlmv3
shubham166,shubham166/finetuning-sentiment-model-3000-samples-shubham166
felipe538,felipe538/autotrain-bxz7j-hmquv
shashwat1225,shashwat1225/0.8-threshold-finetuned-m2m
rodrigoasth,rodrigoasth/llama-2-7b-hf
myconejo,myconejo/distilgpt2-finetuned-wikitext2
QueryloopAI,QueryloopAI/MonarchCoder-7B
maidacundo,maidacundo/phi-moe-loras
valentaine98,valentaine98/prosept_ser
jerdna120,jerdna120/flan-t5-small-samsum
fterry,fterry/FofoNet-CatDolphin-PPT-slerp
marianna13,marianna13/OpenHermes-2.5-Mistral-7B-llava-instruct-665k
vmadhuvarshi,vmadhuvarshi/bert-base-cased-ft
DangerRat,DangerRat/distilbert-base-uncased
raalst,raalst/RobBERT-v2-nl-qa
TechSorceress,TechSorceress/BART-finetuned-BBC
JoseLuis95,JoseLuis95/mbart-EN-ADV-ELE
andrewkroening,andrewkroening/GalaxyFarAway-DialoGPT-HanSolo
napsternxg,napsternxg/scibert_scivocab_cased_SDU21_AI
StrangeSX,StrangeSX/SGX-SeaLLM-v2-DPO
Extrabass,Extrabass/llama-2-13b-chat-hf-light-and-ice-qa
aligner,aligner/aligner-7b-v1.0
pere,pere/roberta-base-exp-32B
w4r10ck,w4r10ck/SOLAR-10.7B-Instruct-v1.0-uncensored
lizhuang144,lizhuang144/flan-t5-base-factual-sg
gsilah,gsilah/mymodel
AdrianBZG,AdrianBZG/tinyroberta-squad-es
bgoel4132,bgoel4132/tweet-disaster-classifier
Eric313,Eric313/finetuning-emotion-model
nguyenthanhdo,nguyenthanhdo/unsloth-sft-runpod-test-13B
typeof,typeof/morph-prover-v0-7b-sharded
Evan102,Evan102/distilbert-base-uncased-finetuned-cola
openai-community,openai-community/openai-gpt
jvalline,jvalline/10pos_model
osanseviero,osanseviero/Mistral-7B-v0.1
littlepinhorse,littlepinhorse/4_datasets_fake_news_Double_balanced_training_CovidFakeNews
pabloma09,pabloma09/phi2-guanaco
sadickam,sadickam/chs-bert
Divyaamith,Divyaamith/divya_resume_model
thangved,thangved/t5-generate-question
decruz07,decruz07/kellemar-DPO-7B-e
dbddv01,dbddv01/gpt2-french-small
johnjose223,johnjose223/distiled_bert-finetuned-squad_v2
salti,salti/arabic-t5-small-question-paraphrasing
schaffen,schaffen/bert-finetuned-ner-accelerate
mediabiasgroup,mediabiasgroup/roberta-subjective-ft-xlm
erickdp,erickdp/comprehendo
MatrixC7,MatrixC7/Meidebenne-120b-v1.0
ADRIANRICO,ADRIANRICO/pegasus-samsum-adrian
phamtungthuy,phamtungthuy/law_model_merged
Pranavsenthilvel,Pranavsenthilvel/t5-small-finetuned-xsum
franchukpetro,franchukpetro/Mistral-7b-v0.1-gptq-int4
Margheghita,Margheghita/finetuning-sentiment-model-3000-samples
RedRawMeat,RedRawMeat/lilt-en-funsd
vuiseng9,vuiseng9/ov-gpt2-fp32-no-cache
entropy,entropy/gpt2_zinc_87m
godxin,godxin/chinese_alpaca_plus_lora_7b
laura0000,laura0000/bert-finetuned-ner-accelerate
Aspect11,Aspect11/DialoGPT-Medium-LiSBot
hoang14,hoang14/viettel-xlm-roberta-base-squad-finetune-viquad
aari1995,aari1995/German_Sentiment
jaustin23,jaustin23/bert-large-uncased-whole-word-masking-finetuned-squad-onnx
SwastyMaharani,SwastyMaharani/generative-qas-pariwisata-bali
jinee,jinee/note
ritendub,ritendub/test_tinyllama
Sydelabs,Sydelabs/detector_god2
megaaziib,megaaziib/Miacaroni-7B-Indonesia
OwOOwO,OwOOwO/eacc_trno1
spongebob01,spongebob01/t5-small-finetuned-es-to-pt
Rijgersberg,Rijgersberg/RobBERT-2023-offensiveness
psybertpt,psybertpt/psyBERTpt
whjung,whjung/gemma-7b-v1.0
