Owner,model_name
MrSentinel,MrSentinel/TinySentinel-1.1B-v0.1
upstage,upstage/SOLAR-10.7B-Instruct-v1.0
kim-sha,kim-sha/sql-sodabot-v1.0
ITT-AF,ITT-AF/ITT-42dot_LLM-PLM-1.3B-v1.0
yuntaeyang,yuntaeyang/KoSOLAR-10.7B-dpo-v1.0
ismaildlml,ismaildlml/Mistral7B-Jarvis-v0.2
EmbeddedLLM,EmbeddedLLM/Mistral-7B-Merge-14-v0.5
josh-sematic,josh-sematic/forum-json-v0.1
projectbaraat,projectbaraat/baarat-MOE-Hindi-v0.1
Sumsam,Sumsam/CogniAssess-FYP-merged-v1.1
AdithyaSK,AdithyaSK/Gemma-Code-Instruct-Finetune-v0.1
habanoz,habanoz/tinyllama-oasst1-top1-instruct-full-lr1-5-v0.1
renyiyu,renyiyu/llama-2-7b-dpo-v0.1
ziffir,ziffir/picky-v1.0
lmsys,lmsys/toxicchat-t5-large-v1.0
band2001,band2001/gg2bit-stolaf-chatbot-v0.1
TinyLlama,TinyLlama/TinyLlama-1.1B-Chat-v1.0
migtissera,migtissera/Tess-34B-v1.4
richardburleigh,richardburleigh/SuperQA-7B-v0.1
samanjoy2,samanjoy2/bn2ipa2braincells-small-byt5-merged-v2.0
Arotte,Arotte/dragon-v0.1
yuuko-eth,yuuko-eth/DraftReasoner-2x7B-MoE-v0.1
cocoirun,cocoirun/Yi-Ko-6B-instruct-v2.0
0x7o,0x7o/fialka-7B-v2.1
ahmedeltabakh,ahmedeltabakh/emotions-classification-Mistral-7B-Instruct-v0.2
StatPan,StatPan/singung-sft-v0.1
MaziyarPanahi,MaziyarPanahi/Qwen1.5-8x7b-v0.1
CognitoLibera,CognitoLibera/inferno-v3.0
PracticeLLM,PracticeLLM/SOLAR-tail-10.7B-instruct-v1.0
MatrixC7,MatrixC7/Meidebenne-120b-v1.0
opencsg,opencsg/opencsg-starcoder2-7b-v0.1
vicgalle,vicgalle/SOLAR-13B-Instruct-v1.0
mzbac,mzbac/llama2-13b-grammar-corrector-v1.1
thanhdaonguyen,thanhdaonguyen/night-time-20B-v1.0
Novocoders,Novocoders/Mistral-NeuralDPO-v0.4
xingyaoww,xingyaoww/CodeActAgent-Mistral-7b-v0.1
abacusai,abacusai/Smaug-Mixtral-v0.1
J3diJ0ni,J3diJ0ni/padawan-v0.1
M4-ai,M4-ai/NeuralReyna-Mini-1.8B-v0.3
BhabhaAI,BhabhaAI/Gajendra-v0.1
Locutusque,Locutusque/TinyMistral-248M-v2.5
aloobun,aloobun/Cypher-Laser-Mixtral-2x1.8B-v0.1
rombodawg,rombodawg/Open_Gpt4_8x7B_v0.1
alexredna,alexredna/Tukan-1.1B-Chat-v0.6
bineric,bineric/NorskGPT-Llama-7B-v0.1
Obrolin,Obrolin/Kesehatan-7B-v0.1
GodsonNtungi,GodsonNtungi/SwahiliInstruct-v0.2
olemeyer,olemeyer/drueck-base-v0.1
SakuraLLM,SakuraLLM/Sakura-14B-Qwen2beta-v0.9
fblgit,fblgit/UNA-SOLAR-10.7B-Instruct-v1.0
EDM25,EDM25/luau-assistant-v0.1
IbuNai,IbuNai/Mixtral-8x7B-v0.1
ChenWeiLi,ChenWeiLi/Taiwan-inquiry_7B_v1.1
wang7776,wang7776/Mistral-7B-Instruct-v0.2-sparsity-30-v0.1
yanolja,yanolja/KoSOLAR-10.7B-v0.2
WhiteRabbitNeo,WhiteRabbitNeo/Trinity-33B-v1.0
msalnikov,msalnikov/Mintaka-Mistral-7B-Instruct-v0.2
codemateai,codemateai/CodeMate-v0.1
BXYMartin,BXYMartin/long-t5-tglobal-base-openhearthstone-v0.1
CleverShovel,CleverShovel/rubert-tiny2-tnved-v2.1
OpenBuddy,OpenBuddy/openbuddy-mixtral-8x7b-v15.2
elliotthwang,elliotthwang/KimLam-Mistral-7B-v0.1
bclavie,bclavie/fio-base-japanese-v0.1
danwils,danwils/SEALLM-echotoba-v1.0
universitytehran,universitytehran/PersianMind-v1.0
deepseek-ai,deepseek-ai/deepseek-coder-7b-base-v1.5
lighthouse-kr,lighthouse-kr/Mistral-7B-lighthouse-merge-v0.1
thekraftors,thekraftors/text-to-sql-v1.0
proto-llm,proto-llm/uniwiz-7B-v0.2
922-CA,922-CA/LLilmonix3b-v0.3
Fredithefish,Fredithefish/MadMix-v0.2
Neuronovo,Neuronovo/neuronovo-9B-v0.4
muzammil-eds,muzammil-eds/tinyllama-3T-128k-JsonExtract-v1.0
Salexoid,Salexoid/mistral-7b-saiga-sum-v0.1
tokyotech-llm,tokyotech-llm/Swallow-MS-7b-v0.1
Nero10578,Nero10578/Mistral-7B-Sunda-v1.0
Steelskull,Steelskull/Etheria-55b-v0.1
4bit,4bit/Mistral-7B-Instruct-v0.1
AvizCICD,AvizCICD/ncp-base-v0.2
decruz07,decruz07/kellemar-DPO-7B-v1.01
erfanzar,erfanzar/Raven-v0.1
croissantllm,croissantllm/CroissantLLMChat-v0.1
Josephgflowers,Josephgflowers/TinyLlama-3T-Cinder-v1.3
lIlBrother,lIlBrother/llama2-merge-v0.2
jacobhoffmann,jacobhoffmann/Mistral-7B-TestGen-Dart_v0.5
ruru2701,ruru2701/musicbert-v1.1
wons,wons/llama2-13b-test-v0.1
jan-hq,jan-hq/stealth-rag-v1.1
seungduk,seungduk/Bookworm-10.7B-v0.2
WebraftAI,WebraftAI/synapsellm-7b-mistral-v0.2
quantumaikr,quantumaikr/quantum-dpo-v0.1
damerajee,damerajee/Gaja-v2.00
jwt2706,jwt2706/token-classification-66M-v0.1
tweetyx,tweetyx/llama-2-7b-esg-fr-v1.0
truocpham,truocpham/llama2-7b-finqa-instruct-v0.1
hahahafofo,hahahafofo/Qwen-1_8B-Stable-Diffusion-Prompt_v0.5
MarkrAI,MarkrAI/RAG-KO-Mixtral-7Bx2-v2.1
RaphaelMourad,RaphaelMourad/mixtral-dna-conserved-v0.1
vibhuagrawal,vibhuagrawal/Mixtral-8x7B-Instruct-v0.1
AsphyXIA,AsphyXIA/baarat-MOE-Kannada-v0.1
Konure,Konure/Konure-v1.0
hbakrim,hbakrim/hierarchy_mistral_7b_v0.1
AIdenU,AIdenU/LLAMA-2-13b-koen-Y24_v1.0
AvizNetworks,AvizNetworks/ncp-base-v0.1
notadib,notadib/Mistral-7B-Instruct-v0.2-attention-sparsity-10-v0.1
suledev,suledev/kaifa-support-chat-v7.3
tolgadev,tolgadev/TrendyolMixLLM_v1.1
Syed-Hasan-8503,Syed-Hasan-8503/Tess-Coder-7B-Mistral-v1.0
rayliuca,rayliuca/TRagx-Merged-TowerInstruct-7B-v0.2
nitky,nitky/Superswallow-70b-v0.3
wkshin89,wkshin89/Yi-Ko-6B-Instruct-v1.0
vaicai,vaicai/kaifa-support-chat-v7.3
JaeyeonKang,JaeyeonKang/CCK-Ausra_v1.2
MugoSquero,MugoSquero/LMCocktail-phi-2-v1.1
mogaio,mogaio/TinyLlama-con-v0.2
kevin009,kevin009/babyllama-v0.6
knlp,knlp/hansol-SOLAR-10.7B-v2.0
hyeogi,hyeogi/Yi-9b-v1.1
Salesforce,Salesforce/dialogstudio-t5-base-v1.0
AtAndDev,AtAndDev/ShortKing-3b-v0.2
chanwit,chanwit/flux-2b-v0.1
BelalTab,BelalTab/finetuned-llama2-2048-v3.0
Trendyol,Trendyol/Trendyol-LLM-7b-base-v0.1
soniox,soniox/Soniox-7B-v1.0
dannoncaffeine,dannoncaffeine/GPT2-124M-wikitext-v0.1
mlburnham,mlburnham/deberta-v3-base-polistance-affect-v1.0
kheopss,kheopss/kheops_instruct_llm_v0.2
k-aaron,k-aaron/aaron-gemma2b-it_v1.0
azale-ai,azale-ai/GotongRoyong-LlaMixtralMoE-7Bx4-v1.0
maksimmezentsev,maksimmezentsev/gemma-2b-trained-v0.1
mayacinka,mayacinka/Mistral-7Bx2-pastiche-v0.2
crisp-im,crisp-im/mirage-flan-t5-xxl-topic-v0.1
